coefficient,Estimate,mod_names,mod_inc,mod_type,crossed
GDP,0.323188960426549,aE.noDr,ALL,BINOMIAL,
Gini,0.591207646042443,aE.noDr,ALL,BINOMIAL,
Mean Temperature,0.515006974480824,aE.noDr,ALL,BINOMIAL,
Population Density,0.507399137352557,aE.noDr,ALL,BINOMIAL,
Monitoring and Surveillance,0.514006334182514,aE.noDr,ALL,BINOMIAL,DPSE interaction
Baseline,0.511083241696298,aE.noDr,ALL,BINOMIAL,
Mean Temperature,2.68633537779982e-05,aP,ALL,BINOMIAL,DPSE interaction
Action,0.186169313836837,aS,ALL,BINOMIAL,DPSE interaction
Workforce,0.73587367164022,aS,ALL,BINOMIAL,DPSE interaction
Animal Production,0.721944525005892,aS,ALL,BINOMIAL,
Mean Temperature,0.477981556175658,aS,ALL,BINOMIAL,DPSE interaction
Awareness and Education,0.226410130707222,aS,ALL,BINOMIAL,
General,0.237785914014679,aS,ALL,BINOMIAL,DPSE interaction
Monitoring and Surveillance,0.684097621278237,aS,ALL,BINOMIAL,
Sanitation,0.472518987726668,aS,ALL,BINOMIAL,DPSE interaction
Gini,0.886914328403163,aS,ALL,BINOMIAL,DPSE interaction
Infection,0.688402565308605,aS,ALL,BINOMIAL,
Baseline,0.613187595130583,aS,ALL,BINOMIAL,
Vaccination,0.564543823649215,aS,ALL,BINOMIAL,
Population Density,0.389238182779347,aS,ALL,BINOMIAL,
GDP,0.45648340437946,aS,ALL,BINOMIAL,
Mean Temperature,0.000730706778600358,aE,ALL,BINOMIAL,DPSE interaction
GDP,0.631199418055572,Dr,ALL,BINOMIAL,income interaction
Baseline,0.57358695691915,Dr,ALL,BINOMIAL,income interaction
Mean Temperature,0.425607920694669,Dr,ALL,BINOMIAL,income interaction
General,0.412721942652152,Dr,ALL,BINOMIAL,income interaction
income,0.629714306223588,Dr,ALL,BINOMIAL,
Animal Production,0.537406054484536,Dr,ALL,BINOMIAL,
Population Density,0.531461887117744,Dr,ALL,BINOMIAL,
